Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
MA Wood (ENG),351588,2015-2024,37,3621,119,30.42,3.31,54.9,5,0
J Briggs (ENG),9223,1884-1899,33,2095,118,17.75,2.35,45.1,9,4
D Bishoo (WI),341593,2011-2018,36,4350,117,37.17,3.23,68.9,4,1
RO Collinge (NZ),36606,1965-1978,35,3393,116,29.25,2.64,66.2,3,0
PM Pollock (SA),46770,1961-1970,28,2806,116,24.18,2.58,56.2,9,1
GG Arnold (ENG),8566,1967-1975,34,3254,115,28.29,2.55,66.5,6,0
DR Doshi (IND),28107,1979-1983,33,3502,114,30.71,2.25,81.7,6,0
CL Hooper (WI),52066,1987-2002,102,5635,114,49.42,2.45,121,4,0
RJ Harris (AUS),5779,2010-2015,27,2658,113,23.52,2.78,50.7,5,0
MS Kasprowicz (AUS),6126,1996-2006,38,3716,113,32.88,3.12,63.1,4,0
PP Ojha (IND),32130,2009-2013,24,3420,113,30.26,2.68,67.5,7,1
BA Reid (AUS),7319,1985-1992,27,2784,113,24.63,2.67,55.2,5,2
GA Lohmann (ENG),16337,1886-1896,18,1205,112,10.75,1.88,34.1,9,5
BR Taylor (NZ),38609,1965-1973,30,2953,111,26.6,2.79,57,4,0
KD Ghavri (IND),28813,1974-1981,39,3656,109,33.54,3.11,64.5,4,0
VA Holder (WI),52061,1969-1979,40,3627,109,33.27,2.39,83.4,3,0
IWG Johnson (AUS),6100,1946-1956,45,3182,109,29.19,2.17,80.5,3,0
DVP Wright (ENG),22536,1938-1951,34,4224,108,39.11,3.11,75.3,6,1
PT Collins (WI),51479,1999-2006,32,3671,106,34.63,3.16,65.6,3,0
Mohammad Asif (PAK),41411,2005-2010,23,2583,106,24.36,2.99,48.7,7,1
NAT Adcock (SA),43923,1953-1962,26,2195,104,21.1,2.06,61.4,5,0
CBRLS Kumara (SL),784375,2016-2025,34,3749,104,36.04,3.87,55.8,1,0
PR Reiffel (AUS),7326,1992-1998,35,2804,104,26.96,2.62,61.5,5,0
G Giffen (AUS),5382,1881-1896,31,2791,103,27.09,2.62,62,7,1
PL Harris (SA),45568,2007-2011,37,3901,103,37.87,2.65,85.5,3,0
JG Bracewell (NZ),36306,1980-1990,41,3653,102,35.81,2.6,82.3,4,1
AN Connolly (AUS),4613,1963-1971,29,2981,102,29.22,2.28,76.6,4,0
JH Wardle (ENG),22288,1948-1957,28,2080,102,20.39,1.89,64.6,5,1
NS Yadav (IND),36064,1979-1987,35,3580,102,35.09,2.56,81.9,3,0
SL Malinga (SL),49758,2004-2010,30,3349,101,33.15,3.85,51.5,3,0
R Peel (ENG),18489,1884-1896,20,1715,101,16.98,1.97,51.6,5,1
CTB Turner (AUS),7990,1887-1895,17,1670,101,16.53,1.93,51.2,11,2
Abdul Razzaq (PAK),39836,1999-2006,46,3694,100,36.94,3.16,70,1,0
C Blythe (ENG),9134,1901-1910,19,1863,100,18.63,2.45,45.4,9,4
N Boje (SA),44091,2000-2006,43,4265,100,42.65,2.96,86.2,3,0
CRD Fernando (SL),48835,2000-2012,40,3784,100,37.84,3.67,61.8,3,0
Mohammad Abbas (PAK),389666,2017-2025,27,2318,100,23.18,2.5,55.5,5,1
Mohammad Rafique (BAN),55973,2000-2008,33,4076,100,40.76,2.79,87.4,7,0
RC Motz (NZ),37733,1961-1969,32,3148,100,31.48,2.68,70.3,5,0
IK Pathan (IND),32685,2003-2008,29,3226,100,32.26,3.28,58.8,7,2
Abdur Rehman (PAK),39091,2007-2014,22,2910,99,29.39,2.53,69.6,2,0
BW Hilfenhaus (AUS),5941,2009-2012,27,2822,99,28.5,2.78,61.3,2,0
AA Mailey (AUS),6465,1920-1926,21,3358,99,33.91,3.29,61.8,6,2
SB Doull (NZ),36835,1992-2000,32,2872,98,29.3,2.84,61.7,6,0
ST Jayasuriya (SL),49209,1991-2007,110,3366,98,34.34,2.46,83.5,2,0
W Voce (ENG),22192,1930-1947,27,2733,98,27.88,2.57,64.8,3,2
Noman Ali (PAK),238672,2021-2025,21,2378,97,24.51,3.05,48.2,9,3
M Prabhakar (IND),32323,1984-1995,39,3581,96,37.3,2.87,77.8,3,0
BKV Prasad (IND),32345,1996-2001,33,3360,96,35,2.86,73.3,7,1
SR Clark (AUS),4582,2006-2009,24,2243,94,23.86,2.61,54.7,2,0
CC Griffith (WI),51907,1960-1969,28,2683,94,28.54,2.85,59.9,5,0
FR Spofforth (AUS),7663,1877-1887,18,1731,94,18.41,2.48,44.5,7,4
CD Collymore (WI),51481,1999-2007,30,3004,93,32.3,2.84,68.1,4,1
JW Gleeson (AUS),5398,1967-1972,29,3367,93,36.2,2.28,95.2,3,0
CC Lewis (ENG),16274,1990-1996,32,3490,93,37.52,3.05,73.6,3,0
DJ Nash (NZ),38008,1992-2001,32,2649,93,28.48,2.56,66.6,3,1
BP Patterson (WI),52671,1986-1992,28,2874,93,30.9,3.57,51.9,5,0
SLV Raju (IND),33044,1990-2001,28,2857,93,30.72,2.25,81.7,5,1
Tauseef Ahmed (PAK),43277,1980-1993,34,2950,93,31.72,2.27,83.6,3,0
KCG Benjamin (WI),51218,1992-1998,26,2785,92,30.27,3.25,55.7,4,1
SR Waugh (AUS),8192,1985-2004,168,3445,92,37.44,2.64,84.8,3,0
RL Chase (WI),391832,2016-2025,54,4189,91,46.03,3.48,79.1,4,0
NJN Hawke (AUS),5611,1963-1968,27,2677,91,29.41,2.3,76.6,6,1
A Cotter (AUS),4632,1904-1912,21,2549,89,28.64,3.3,52,7,0
JNT Seales (WI),1199304,2021-2025,23,2120,89,23.82,3.41,41.8,3,0
NA Foster (ENG),12879,1983-1993,29,2891,88,32.85,2.77,71.1,5,1
Maninder Singh (IND),30923,1982-1993,35,3288,88,37.36,2.4,93.3,3,2
RG Nadkarni (IND),31760,1955-1968,41,2559,88,29.07,1.67,104.1,4,1
T Richardson (ENG),19389,1893-1898,14,2220,88,25.22,2.96,51.1,11,4
WW Armstrong (AUS),3982,1902-1921,50,2923,87,33.59,2.18,92.2,3,0
SJ Benn (WI),51248,2008-2015,26,3402,87,39.1,2.78,84.1,6,0
SE Bond (NZ),36326,2001-2009,18,1922,87,22.09,3.41,38.7,5,1
M Hendrick (ENG),14159,1974-1981,30,2248,87,25.83,2.17,71.3,0,0
S Sreesanth (IND),34274,2006-2011,27,3271,87,37.59,3.62,62.2,3,0
DJ Bravo (WI),51439,2004-2010,40,3426,86,39.83,3.17,75.1,2,0
HJ Howarth (NZ),37255,1969-1977,30,3178,86,36.95,2.15,102.7,2,0
PS de Villiers (SA),44696,1993-1998,18,2063,85,24.27,2.57,56.5,5,2
JM Gregory (AUS),5435,1920-1928,24,2648,85,31.15,2.84,65.6,4,0
Mohammad Sami (PAK),41324,2001-2012,36,4483,85,52.74,3.58,88.2,2,0
AY Patel (NZ),595783,2018-2024,21,2487,85,29.25,3.25,53.9,7,2
DBL Powell (WI),52790,2002-2009,37,4068,85,47.85,3.44,83.2,1,0
JR Reid (NZ),38248,1949-1965,58,2835,85,33.35,2.2,90.8,1,0
GP Wickramasinghe (SL),50848,1991-2001,40,3559,85,41.87,2.94,85.4,3,0
DJG Sammy (WI),53115,2007-2013,38,3007,84,35.79,2.9,73.9,4,0
