Player,Player_ID,Career_Span,Matches_Played,Runs_Conceded,Wickets_Total,Bowling_Average,Economy_Rate,Strike_Rate,Five_Wickets,Ten_Wickets
PC Strydom (SA),47255,2000-2000,2,27,0,0,4.5,0,0,0
R Subba Row (ENG),20406,1958-1961,13,2,0,0,2,0,0,0
VN Swamy (IND),34189,1955-1955,1,45,0,0,2.5,0,0,0
Talat Ali (PAK),43273,1972-1979,10,7,0,0,2.1,0,0,0
Tamim Iqbal (BAN),56194,2008-2023,70,20,0,0,4,0,0,0
LE Tapscott (SA),47526,1923-1923,2,2,0,0,1,0,0,0
KK Tarapore (IND),35313,1948-1948,1,72,0,0,3.78,0,0,0
Taufeeq Umar (PAK),43363,2001-2014,44,44,0,0,3.38,0,0,0
CJ Tavare (ENG),21466,1980-1989,31,11,0,0,2.2,0,0,0
BRM Taylor (ZIM),55814,2004-2025,36,38,0,0,5.42,0,0,0
K Taylor (ENG),21485,1959-1964,3,6,0,0,3,0,0,0
RW Taylor (ENG),21494,1971-1984,57,6,0,0,3,0,0,0
HT Tector (IRE),961407,2023-2025,8,85,0,0,5.66,0,0,0
Lord Tennyson (ENG),21499,1913-1921,9,1,0,0,1,0,0,0
NHCD Theunissen (SA),47568,1889-1889,1,51,0,0,3.82,0,0,0
HDRL Thirimanne (SL),301236,2011-2022,44,51,0,0,3.64,0,0,0
GP Thorpe (ENG),21537,1993-2005,100,37,0,0,1.6,0,0,0
HM Thurlow (AUS),7952,1932-1932,1,86,0,0,2.2,0,0,0
HP Tillakaratne (SL),50744,1989-2004,83,25,0,0,1.97,0,0,0
DS Tomlinson (SA),47548,1935-1935,1,38,0,0,3.8,0,0,0
PM Toohey (AUS),7959,1977-1980,15,4,0,0,12,0,0,0
DCH Townsend (ENG),21565,1935-1935,3,9,0,0,9,0,0,0
LR Tuckett (SA),47558,1914-1914,1,69,0,0,3.45,0,0,0
GM Turner (NZ),38622,1969-1983,41,5,0,0,2.5,0,0,0
Tushar Imran (BAN),56186,2002-2007,5,48,0,0,4.8,0,0,0
GE Tyldesley (ENG),21634,1921-1929,14,2,0,0,4,0,0,0
M van Jaarsveld (SA),47700,2002-2004,9,28,0,0,4,0,0,0
GD Varnals (SA),47717,1964-1965,3,2,0,0,1,0,0,0
DB Vengsarkar (IND),35654,1976-1992,116,36,0,0,4.59,0,0,0
MA Vermeulen (ZIM),55822,2002-2014,9,5,0,0,5,0,0,0
KG Viljoen (SA),47733,1930-1949,27,23,0,0,2.87,0,0,0
JM Vince (ENG),296597,2016-2018,13,13,0,0,3.25,0,0,0
L Vincent (NZ),38714,2001-2007,23,2,0,0,2,0,0,0
AC Voges (AUS),8119,2015-2016,20,44,0,0,3.47,0,0,0
S von Berg (SA),393289,2024-2024,1,100,0,0,3.44,0,0,0
MS Wade (AUS),230193,2012-2021,36,28,0,0,5.6,0,0,0
AL Wadekar (IND),35933,1966-1974,37,55,0,0,5.4,0,0,0
E Wainwright (ENG),22258,1893-1898,5,73,0,0,3.44,0,0,0
Wajahatullah Wasti (PAK),43539,1999-2000,6,8,0,0,2.66,0,0,0
PM Walker (ENG),22276,1960-1960,3,34,0,0,2.61,0,0,0
WM Wallace (NZ),38738,1937-1953,13,5,0,0,5,0,0,0
Waqar Hasan (PAK),43541,1952-1959,21,10,0,0,10,0,0,0
B Warnapura (SL),50835,1982-1982,4,46,0,0,3.06,0,0,0
SM Warnapura (SL),50874,2007-2009,14,40,0,0,4.44,0,0,0
DM Washington (WI),53355,2005-2005,1,93,0,0,3.2,0,0,0
Wasim Bari (PAK),43549,1967-1984,81,2,0,0,1.5,0,0,0
JR Watkins (AUS),8173,1973-1973,1,21,0,0,2.62,0,0,0
WJ Watson (AUS),8181,1955-1955,4,5,0,0,5,0,0,0
S Wazir Ali (IND),35940,1932-1936,7,25,0,0,5,0,0,0
Wazir Mohammad (PAK),43557,1952-1959,20,15,0,0,3.75,0,0,0
CDUS Weerasinghe (SL),50838,1985-1985,1,36,0,0,1.89,0,0,0
DN Wellalage (SL),1152427,2022-2022,1,35,0,0,2.69,0,0,0
KC Wessels (AUS/SA),47884,1982-1994,40,42,0,0,2.8,0,0,0
RJ Westcott (SA),47885,1954-1958,5,22,0,0,4.12,0,0,0
T Westley (ENG),214265,2017-2017,5,12,0,0,3,0,0,0
S Wettimuny (SL),50844,1982-1987,23,37,0,0,9.25,0,0,0
DF Whatmore (AUS),8210,1979-1979,7,11,0,0,2.2,0,0,0
DJ White (NZ),38749,1990-1990,2,5,0,0,10,0,0,0
WW Whysall (ENG),22420,1925-1930,4,9,0,0,3.37,0,0,0
JM Wiener (AUS),8224,1979-1980,6,41,0,0,3.15,0,0,0
CV Wight (WI),53224,1928-1930,2,6,0,0,1.2,0,0,0
SC Williams (WI),53234,1994-2002,31,19,0,0,6.33,0,0,0
P Wilson (AUS),8241,1998-1998,1,50,0,0,4.16,0,0,0
B Wood (ENG),22498,1972-1978,12,50,0,0,3.06,0,0,0
JG Wright (NZ),38757,1978-1993,82,5,0,0,1,0,0,0
EG Wynyard (ENG),22548,1896-1906,3,17,0,0,4.25,0,0,0
Yajurvindra Singh (IND),36072,1977-1979,4,50,0,0,2.5,0,0,0
Yasir Ali (BAN),629059,2021-2022,6,35,0,0,5,0,0,0
Yasir Hameed (PAK),43656,2003-2010,25,72,0,0,5.53,0,0,0
S Young (AUS),8457,1997-1997,1,13,0,0,1.62,0,0,0
Younis Ahmed (PAK),43648,1969-1987,4,6,0,0,6,0,0,0
Zafar Gohar (PAK),348154,2021-2021,1,159,0,0,4.96,0,0,0
JW Zulch (SA),48109,1910-1921,16,28,0,0,7,0,0,0
Abdullah Shafique (PAK),922941,2021-2025,24,0,0,0,0,0,0,0
Abdul Kadir (PAK),38971,1964-1965,4,0,0,0,0,0,0,0
R Abel (ENG),8480,1888-1902,13,0,0,0,0,0,0,0
Abid Ali (PAK),39950,2019-2021,16,0,0,0,0,0,0,0
CA Absolom (ENG),8483,1879-1879,1,0,0,0,0,0,0,0
HD Ackerman (SA),43913,1998-1998,4,0,0,0,0,0,0,0
Adnan Akmal (PAK),39038,2010-2014,21,0,0,0,0,0,0,0
Afsar Zazai (AFG),420402,2018-2025,9,0,0,0,0,0,0,0
MA Agarwal (IND),398438,2018-2022,21,0,0,0,0,0,0,0
Agha Saadat Ali (PAK),38981,1955-1955,1,0,0,0,0,0,0,0
Agha Zahid (PAK),38982,1975-1975,1,0,0,0,0,0,0,0
Akram Khan (BAN),56221,2000-2003,8,0,0,0,0,0,0,0
FCM Alexander (WI),51101,1957-1961,25,0,0,0,0,0,0,0
DW Allan (WI),51104,1962-1966,5,0,0,0,0,0,0,0
RC Allen (AUS),3958,1887-1887,1,0,0,0,0,0,0,0
Al Sahariar (BAN),56219,2000-2003,15,0,0,0,0,0,0,0
SW Ambris (WI),348054,2017-2018,6,0,0,0,0,0,0,0
TR Ambrose (ENG),8845,2008-2009,11,0,0,0,0,0,0,0
LEG Ames (ENG),8532,1929-1939,47,0,0,0,0,0,0,0
DL Amiss (ENG),8535,1966-1977,50,0,0,0,0,0,0,0
PK Amre (IND),26238,1992-1993,11,0,0,0,0,0,0,0
Anamul Haque (BAN),380354,2013-2025,8,0,0,0,0,0,0,0
JH Anderson (SA),43933,1902-1902,1,0,0,0,0,0,0,0
KA Anderson (WI),1209188,2025-2025,1,0,0,0,0,0,0,0
RW Anderson (NZ),36180,1976-1978,9,0,0,0,0,0,0,0
WM Anderson (NZ),36181,1946-1946,1,0,0,0,0,0,0,0
KV Andrew (ENG),8545,1954-1963,2,0,0,0,0,0,0,0
Anil Dalpat (PAK),38999,1984-1985,9,0,0,0,0,0,0,0
Anwar Hossain (BAN),56255,2002-2002,1,0,0,0,0,0,0,0
AL Apte (IND),26268,1959-1959,1,0,0,0,0,0,0,0
AG Archer (ENG),8555,1899-1899,1,0,0,0,0,0,0,0
KA Archer (AUS),3978,1950-1951,5,0,0,0,0,0,0,0
J Arnold (ENG),8567,1931-1931,1,0,0,0,0,0,0,0
KJ Arnott (ZIM),55235,1992-1993,4,0,0,0,0,0,0,0
NS Asgarali (WI),51111,1957-1957,2,0,0,0,0,0,0,0
Ashraf Ali (PAK),39008,1982-1987,8,0,0,0,0,0,0,0
Asim Kamal (PAK),39041,2003-2005,12,0,0,0,0,0,0,0
CWJ Athey (ENG),8581,1980-1988,23,0,0,0,0,0,0,0
Atif Rauf (PAK),39018,1994-1994,1,0,0,0,0,0,0,0
Atiq-uz-Zaman (PAK),39019,2000-2000,1,0,0,0,0,0,0,0
Azam Khan (PAK),39020,1996-1996,1,0,0,0,0,0,0,0
Azmat Rana (PAK),39026,1980-1980,1,0,0,0,0,0,0,0
A Bacher (SA),44026,1965-1970,12,0,0,0,0,0,0,0
CL Badcock (AUS),4076,1936-1938,7,0,0,0,0,0,0,0
S Badrinath (IND),26806,2010-2010,2,0,0,0,0,0,0,0
Bahir Shah (AFG),976571,2023-2025,2,0,0,0,0,0,0,0
L Baichan (WI),51209,1975-1976,3,0,0,0,0,0,0,0
GJ Bailey (AUS),4451,2013-2014,5,0,0,0,0,0,0,0
RJ Bailey (ENG),8942,1988-1990,4,0,0,0,0,0,0,0
DL Bairstow (ENG),8954,1979-1981,4,0,0,0,0,0,0,0
JM Bairstow (ENG),297433,2012-2024,100,0,0,0,0,0,0,0
CT Bancroft (AUS),501011,2017-2019,10,0,0,0,0,0,0,0
C Bannerman (AUS),4091,1877-1879,3,0,0,0,0,0,0,0
RT Barber (NZ),36287,1956-1956,1,0,0,0,0,0,0,0
W Bardsley (AUS),4095,1909-1926,41,0,0,0,0,0,0,0
GD Barlow (ENG),8990,1976-1977,3,0,0,0,0,0,0,0
BA Barnett (AUS),4100,1938-1938,4,0,0,0,0,0,0,0
JE Barrett (AUS),4102,1890-1890,2,0,0,0,0,0,0,0
IM Barrow (WI),51303,1930-1939,11,0,0,0,0,0,0,0
EL Bartlett (WI),51215,1928-1931,5,0,0,0,0,0,0,0
PT Barton (NZ),36289,1961-1963,7,0,0,0,0,0,0,0
VA Barton (ENG),9025,1892-1892,1,0,0,0,0,0,0,0
CS Baugh (WI),51446,2003-2012,21,0,0,0,0,0,0,0
Bazid Khan (PAK),39956,2005-2005,1,0,0,0,0,0,0,0
G Bean (ENG),9051,1892-1892,3,0,0,0,0,0,0,0
JEF Beck (NZ),36291,1953-1956,8,0,0,0,0,0,0,0
DG Bedingham (SA),498585,2023-2025,15,0,0,0,0,0,0,0
MD Bell (NZ),36294,1998-2008,18,0,0,0,0,0,0,0
MR Benson (ENG),9074,1986-1986,1,0,0,0,0,0,0,0
N Betancourt (WI),51222,1930-1930,1,0,0,0,0,0,0,0
M Bhanuka (SL),629075,2021-2021,1,0,0,0,0,0,0,0
KS Bharat (IND),529436,2023-2024,7,0,0,0,0,0,0,0
GP Bilby (NZ),36296,1966-1966,2,0,0,0,0,0,0,0
SW Billings (ENG),297628,2022-2022,3,0,0,0,0,0,0,0
JG Binks (ENG),9095,1964-1964,2,0,0,0,0,0,0,0
AP Binns (WI),51223,1953-1956,5,0,0,0,0,0,0,0
M Bisset (SA),44079,1899-1910,3,0,0,0,0,0,0,0
JM Blackham (AUS),4153,1877-1894,35,0,0,0,0,0,0,0
TE Blain (NZ),36297,1986-1994,11,0,0,0,0,0,0,0
RJ Blakey (ENG),9121,1993-1993,2,0,0,0,0,0,0,0
Hon.IFW Bligh (ENG),9127,1882-1883,4,0,0,0,0,0,0,0
JH Board (ENG),9136,1899-1906,6,0,0,0,0,0,0,0
BA Bolton (NZ),36302,1959-1959,2,0,0,0,0,0,0,0
MP Bowden (ENG),9171,1889-1889,2,0,0,0,0,0,0,0
JR Bracey (ENG),747031,2021-2021,2,0,0,0,0,0,0,0
WP Bradburn (NZ),36309,1964-1964,2,0,0,0,0,0,0,0
WH Brann (SA),44116,1922-1923,3,0,0,0,0,0,0,0
JM Brearley (ENG),9208,1976-1981,39,0,0,0,0,0,0,0
MP Breetzke (SA),595267,2024-2025,2,0,0,0,0,0,0,0
DV Brennan (ENG),9210,1951-1951,2,0,0,0,0,0,0,0
GA Briant (ZIM),55271,1993-1993,1,0,0,0,0,0,0,0
AW Briscoe (SA),44121,1935-1939,2,0,0,0,0,0,0,0
D Brookes (ENG),9239,1948-1948,1,0,0,0,0,0,0,0
SSJ Brooks (WI),230555,2019-2022,13,0,0,0,0,0,0,0
NT Broom (NZ),36581,2017-2017,2,0,0,0,0,0,0,0
G Brown (ENG),9259,1921-1923,7,0,0,0,0,0,0,0
WA Brown (AUS),4225,1934-1948,22,0,0,0,0,0,0,0
CO Browne (WI),51232,1995-2005,20,0,0,0,0,0,0,0
GK Bruk-Jackson (ZIM),55276,1993-1993,2,0,0,0,0,0,0,0
PJP Burge (AUS),4241,1955-1966,42,0,0,0,0,0,0,0
CGD Burger (SA),44076,1958-1958,2,0,0,0,0,0,0,0
EJK Burn (AUS),4245,1890-1890,2,0,0,0,0,0,0,0
JA Burns (AUS),326632,2014-2020,23,0,0,0,0,0,0,0
RJ Burns (ENG),398778,2018-2022,32,0,0,0,0,0,0,0
FJ Burton (AUS),4250,1887-1888,2,0,0,0,0,0,0,0
RO Butcher (ENG),9329,1981-1981,3,0,0,0,0,0,0,0
HR Butt (ENG),9334,1896-1896,3,0,0,0,0,0,0,0
JC Buttler (ENG),308967,2014-2022,57,0,0,0,0,0,0,0
HB Cameron (SA),44419,1927-1935,26,0,0,0,0,0,0,0
SL Campbell (WI),51462,1995-2002,52,0,0,0,0,0,0,0
T Campbell (SA),44421,1910-1912,5,0,0,0,0,0,0,0
MA Carberry (ENG),10656,2010-2014,6,0,0,0,0,0,0,0
AT Carey (AUS),326434,2021-2025,43,0,0,0,0,0,0,0
W Carkeek (AUS),4533,1912-1912,6,0,0,0,0,0,0,0
SV Carlisle (ZIM),55307,1995-2005,37,0,0,0,0,0,0,0
PR Carlstein (SA),44424,1958-1964,8,0,0,0,0,0,0,0
C Carmichael (IRE),946283,2025-2025,1,0,0,0,0,0,0,0
AW Carr (ENG),10666,1922-1929,11,0,0,0,0,0,0,0
H Carter (AUS),4542,1907-1921,28,0,0,0,0,0,0,0
KU Carty (WI),820677,2024-2025,7,0,0,0,0,0,0,0
RW Chakabva (ZIM),293831,2011-2021,22,0,0,0,0,0,0,0
G Challenor (WI),51467,1928-1928,3,0,0,0,0,0,0,0
T Chanderpaul (WI),601968,2022-2025,12,0,0,0,0,0,0,0
LD Chandimal (SL),300628,2011-2025,90,0,0,0,0,0,0,0
R Chandrika (WI),316153,2015-2016,5,0,0,0,0,0,0,0
HS Chang (WI),51470,1979-1979,1,0,0,0,0,0,0,0
TM Chappell (AUS),4561,1981-1981,3,0,0,0,0,0,0,0
HRJ Charlwood (ENG),10713,1877-1877,2,0,0,0,0,0,0,0
S Chattergoon (WI),51492,2008-2008,4,0,0,0,0,0,0,0
W Chatterton (ENG),10716,1892-1892,1,0,0,0,0,0,0,0
A Chopra (IND),27639,2003-2004,10,0,0,0,0,0,0,0
CM Christiani (WI),51471,1935-1935,4,0,0,0,0,0,0,0
SHM Colah (IND),27665,1932-1933,2,0,0,0,0,0,0,0
IA Colquhoun (NZ),36607,1955-1955,2,0,0,0,0,0,0,0
JMM Commaille (SA),44454,1910-1928,12,0,0,0,0,0,0,0
JB Commins (SA),44455,1994-1995,3,0,0,0,0,0,0,0
M Commins (IRE),594992,2023-2023,2,0,0,0,0,0,0,0
NRD Compton (ENG),11718,2012-2016,16,0,0,0,0,0,0,0
DP Conway (NZ),379140,2021-2025,29,0,0,0,0,0,0,0
FJ Cook (SA),44463,1896-1896,1,0,0,0,0,0,0,0
SJ Cook (SA),44465,1992-1993,3,0,0,0,0,0,0,0
AHC Cooper (SA),44468,1913-1913,1,0,0,0,0,0,0,0
BB Cooper (AUS),4625,1877-1877,1,0,0,0,0,0,0,0
WL Cornford (ENG),10817,1930-1930,4,0,0,0,0,0,0,0
JT Cottam (AUS),4631,1887-1887,1,0,0,0,0,0,0,0
G Coulthard (AUS),4635,1882-1882,1,0,0,0,0,0,0,0
Hon.CJ Coventry (ENG),10836,1889-1889,2,0,0,0,0,0,0,0
CK Coventry (ZIM),55329,2005-2005,2,0,0,0,0,0,0,0
EJM Cowan (AUS),4531,2011-2013,18,0,0,0,0,0,0,0
ID Craig (AUS),4652,1953-1958,11,0,0,0,0,0,0,0
J Cranston (ENG),10861,1890-1890,1,0,0,0,0,0,0,0
JF Crapp (ENG),10864,1948-1949,7,0,0,0,0,0,0,0
JP Crawley (ENG),10870,1994-2003,37,0,0,0,0,0,0,0
Z Crawley (ENG),665053,2019-2025,59,0,0,0,0,0,0,0
CD Cumming (NZ),36627,2005-2008,11,0,0,0,0,0,0,0
SH Curnow (SA),44491,1930-1932,7,0,0,0,0,0,0,0
BJ Curran (ZIM),910695,2024-2025,8,0,0,0,0,0,0,0
V Dahiya (IND),27978,2000-2000,2,0,0,0,0,0,0,0
JW D'Arcy (NZ),36823,1958-1958,5,0,0,0,0,0,0,0
J Darling (AUS),4897,1894-1905,34,0,0,0,0,0,0,0
WM Darling (AUS),4900,1978-1979,14,0,0,0,0,0,0,0
D Dasgupta (IND),28146,2001-2002,8,0,0,0,0,0,0,0
PB Dassanayake (SL),48445,1993-1994,11,0,0,0,0,0,0,0
BA Davis (WI),51640,1965-1965,4,0,0,0,0,0,0,0
IC Davis (AUS),4916,1973-1977,15,0,0,0,0,0,0,0
EW Dawson (ENG),11843,1928-1930,5,0,0,0,0,0,0,0
J Da Silva (WI),1168667,2020-2024,33,0,0,0,0,0,0,0
RG de Alwis (SL),48446,1983-1988,11,0,0,0,0,0,0,0
HG Deane (SA),44685,1924-1931,17,0,0,0,0,0,0,0
JH de Courcy (AUS),4932,1953-1953,3,0,0,0,0,0,0,0
Q de Kock (SA),379143,2014-2021,54,0,0,0,0,0,0,0
MH Denness (ENG),11870,1969-1975,28,0,0,0,0,0,0,0
D Denton (ENG),11875,1905-1910,11,0,0,0,0,0,0,0
SI de Saram (SL),48449,1999-2000,4,0,0,0,0,0,0,0
AM de Silva (SL),48450,1993-1993,3,0,0,0,0,0,0,0
SKL de Silva (SL),48465,1997-1997,3,0,0,0,0,0,0,0
JG Dewes (ENG),11883,1948-1950,5,0,0,0,0,0,0,0
T de Zorzi (SA),697183,2023-2025,15,0,0,0,0,0,0,0
AE Dick (NZ),36830,1961-1965,17,0,0,0,0,0,0,0
N Dickwella (SL),429754,2014-2023,54,0,0,0,0,0,0,0
SS Dighe (IND),28090,2001-2001,6,0,0,0,0,0,0,0
Dilawar Hussain (IND),28092,1934-1936,3,0,0,0,0,0,0,0
AE Dipper (ENG),11898,1921-1921,1,0,0,0,0,0,0,0
GHG Doggart (ENG),11910,1950-1950,2,0,0,0,0,0,0,0
HE Dollery (ENG),11918,1947-1950,4,0,0,0,0,0,0,0
A Dolphin (ENG),11919,1921-1921,1,0,0,0,0,0,0,0
AJ Doolan (AUS),233648,2014-2014,4,0,0,0,0,0,0,0
RR Dower (SA),44719,1899-1899,1,0,0,0,0,0,0,0
PR Downton (ENG),11931,1981-1988,30,0,0,0,0,0,0,0
SO Dowrich (WI),431905,2015-2020,35,0,0,0,0,0,0,0
RG Draper (SA),44721,1950-1950,2,0,0,0,0,0,0,0
NF Druce (ENG),11940,1897-1898,5,0,0,0,0,0,0,0
A Ducat (ENG),11943,1921-1921,1,0,0,0,0,0,0,0
BM Duckett (ENG),521637,2016-2025,38,0,0,0,0,0,0,0
CAR Duckworth (SA),44727,1957-1957,2,0,0,0,0,0,0,0
G Duckworth (ENG),11946,1924-1936,24,0,0,0,0,0,0,0
T Duffin (ZIM),55391,2005-2005,2,0,0,0,0,0,0,0
PJL Dujon (WI),51657,1981-1991,81,0,0,0,0,0,0,0
OR Dunell (SA),44732,1889-1889,2,0,0,0,0,0,0,0
CI Dunusinghe (SL),48473,1995-1995,5,0,0,0,0,0,0,0
DV Dyer (SA),44747,1947-1947,3,0,0,0,0,0,0,0
GC Dyer (AUS),4996,1986-1988,6,0,0,0,0,0,0,0
J Dyson (AUS),5001,1977-1984,30,0,0,0,0,0,0,0
DD Ebrahim (ZIM),55416,2001-2005,29,0,0,0,0,0,0,0
GN Edwards (NZ),36952,1977-1981,8,0,0,0,0,0,0,0
JD Edwards (AUS),5122,1888-1888,3,0,0,0,0,0,0,0
WJ Edwards (AUS),5126,1974-1974,3,0,0,0,0,0,0,0
Harry Elliott (ENG),12504,1928-1934,4,0,0,0,0,0,0,0
PA Emery (AUS),5139,1994-1994,1,0,0,0,0,0,0,0
GM Emmett (ENG),12517,1948-1948,1,0,0,0,0,0,0,0
WR Endean (SA),44964,1951-1958,28,0,0,0,0,0,0,0
FM Engineer (IND),28624,1961-1975,46,0,0,0,0,0,0,0
CR Ervine (ZIM),55412,2011-2025,31,0,0,0,0,0,0,0
SJ Erwee (SA),324260,2022-2023,10,0,0,0,0,0,0,0
AJ Evans (ENG),12523,1921-1921,1,0,0,0,0,0,0,0
TG Evans (ENG),12543,1946-1959,91,0,0,0,0,0,0,0
AE Fagg (ENG),12800,1936-1939,5,0,0,0,0,0,0,0
Faisal Hossain (BAN),55889,2004-2004,1,0,0,0,0,0,0,0
Fakhar Zaman (PAK),512191,2018-2019,3,0,0,0,0,0,0,0
FL Fane (ENG),12807,1906-1910,14,0,0,0,0,0,0,0
Farhan Adil (PAK),40097,2003-2003,1,0,0,0,0,0,0,0
WS Farrer (SA),45037,1962-1964,6,0,0,0,0,0,0,0
W Farrimond (ENG),12814,1931-1935,4,0,0,0,0,0,0,0
LE Favell (AUS),5220,1954-1961,19,0,0,0,0,0,0,0
CJ Ferguson (AUS),5236,2016-2016,1,0,0,0,0,0,0,0
MP Fernandes (WI),51789,1928-1930,2,0,0,0,0,0,0,0
ERNS Fernando (SL),48803,1983-1984,5,0,0,0,0,0,0,0
KNM Fernando (SL),1126045,2023-2024,10,0,0,0,0,0,0,0
NR Ferreira (ZIM),55421,2005-2005,1,0,0,0,0,0,0,0
CG Fichardt (SA),45048,1892-1896,2,0,0,0,0,0,0,0
TM Findlay (WI),51792,1969-1973,10,0,0,0,0,0,0,0
JHW Fingleton (AUS),5229,1932-1938,18,0,0,0,0,0,0,0
LB Fishlock (ENG),12845,1936-1947,4,0,0,0,0,0,0,0
SP Fleming (NZ),37000,1994-2008,111,0,0,0,0,0,0,0
BT Foakes (ENG),364788,2018-2024,25,0,0,0,0,0,0,0
H Foley (NZ),37001,1930-1930,1,0,0,0,0,0,0,0
C Fortuin (SA),596137,2024-2024,2,0,0,0,0,0,0,0
JS Foster (ENG),12877,2001-2002,7,0,0,0,0,0,0,0
RE Foster (ENG),12881,1903-1907,8,0,0,0,0,0,0,0
BC Francis (AUS),5253,1972-1972,3,0,0,0,0,0,0,0
HH Francis (SA),45072,1899-1899,2,0,0,0,0,0,0,0
CN Frank (SA),45075,1921-1921,3,0,0,0,0,0,0,0
TJ Franklin (NZ),37002,1983-1991,21,0,0,0,0,0,0,0
MC Frederick (WI),51798,1954-1954,1,0,0,0,0,0,0,0
BN French (ENG),12923,1986-1988,16,0,0,0,0,0,0,0
GM Fullerton (SA),45078,1947-1951,7,0,0,0,0,0,0,0
PG Fulton (NZ),37091,2006-2014,23,0,0,0,0,0,0,0
KJ Funston (SA),45081,1952-1958,18,0,0,0,0,0,0,0
HA Furlonge (WI),51800,1955-1956,3,0,0,0,0,0,0,0
D Gamsy (SA),45214,1970-1970,2,0,0,0,0,0,0,0
DJ Gandhi (IND),28770,1999-1999,4,0,0,0,0,0,0,0
AG Ganteaume (WI),51874,1948-1948,1,0,0,0,0,0,0,0
LV Garrick (WI),51877,2001-2001,1,0,0,0,0,0,0,0
LH Gay (ENG),13342,1894-1894,1,0,0,0,0,0,0,0
SG Gedye (NZ),37099,1964-1965,4,0,0,0,0,0,0,0
LK Germon (NZ),37101,1995-1997,12,0,0,0,0,0,0,0
Ghulam Abbas (PAK),40303,1967-1967,1,0,0,0,0,0,0,0
PA Gibb (ENG),13357,1938-1946,8,0,0,0,0,0,0,0
WF Giffen (AUS),5383,1887-1892,3,0,0,0,0,0,0,0
AC Gilchrist (AUS),5390,1999-2008,96,0,0,0,0,0,0,0
AHH Gilligan (ENG),13373,1930-1930,4,0,0,0,0,0,0,0
H Gimblett (ENG),13379,1936-1939,3,0,0,0,0,0,0,0
RA Gleeson (SA),45231,1896-1896,1,0,0,0,0,0,0,0
Y Goonasekera (SL),48996,1983-1983,2,0,0,0,0,0,0,0
HM Goonatilleke (SL),49097,1982-1982,5,0,0,0,0,0,0,0
EM Grace (ENG),13420,1880-1880,1,0,0,0,0,0,0,0
GF Grace (ENG),13422,1880-1880,1,0,0,0,0,0,0,0
H Graham (AUS),5422,1893-1896,6,0,0,0,0,0,0,0
AE Greenidge (WI),51899,1978-1979,6,0,0,0,0,0,0,0
A Greenwood (ENG),13451,1877-1877,2,0,0,0,0,0,0,0
EJ Gregory (AUS),5433,1877-1877,1,0,0,0,0,0,0,0
BAF Grieve (ENG),13468,1889-1889,2,0,0,0,0,0,0,0
RE Grieveson (SA),45246,1939-1939,2,0,0,0,0,0,0,0
AFG Griffith (WI),51905,1997-2000,14,0,0,0,0,0,0,0
SC Griffith (ENG),13476,1948-1949,3,0,0,0,0,0,0,0
TU Groube (AUS),5446,1880-1880,1,0,0,0,0,0,0,0
ATW Grout (AUS),5449,1957-1966,51,0,0,0,0,0,0,0
SC Guillen (NZ/WI),37106,1951-1956,8,0,0,0,0,0,0,0
J Gumbie (ZIM),596376,2024-2025,3,0,0,0,0,0,0,0
DA Gunawardene (SL),49010,1999-2005,6,0,0,0,0,0,0,0
W Gunn (ENG),13492,1887-1899,11,0,0,0,0,0,0,0
Gursharan Singh (IND),28884,1990-1990,1,0,0,0,0,0,0,0
JW Guy (NZ),37107,1955-1961,12,0,0,0,0,0,0,0
A Habib (ENG),13985,1999-1999,2,0,0,0,0,0,0,0
BJ Haddin (AUS),5560,2008-2015,66,0,0,0,0,0,0,0
WA Hadlee (NZ),37226,1937-1951,11,0,0,0,0,0,0,0
EA Halliwell (SA),45393,1892-1902,8,0,0,0,0,0,0,0
C Hallows (ENG),14002,1921-1928,2,0,0,0,0,0,0,0
H Hameed (ENG),632172,2016-2022,10,0,0,0,0,0,0,0
RA Hamence (AUS),5565,1947-1948,3,0,0,0,0,0,0,0
JN Hamilton (WI),332937,2019-2019,1,0,0,0,0,0,0,0
JH Hampshire (ENG),14024,1969-1975,8,0,0,0,0,0,0,0
RHM Hands (SA),45405,1914-1914,1,0,0,0,0,0,0,0
PSP Handscomb (AUS),334337,2016-2023,20,0,0,0,0,0,0,0
Hannan Sarkar (BAN),55915,2002-2004,17,0,0,0,0,0,0,0
HTW Hardinge (ENG),14038,1921-1921,1,0,0,0,0,0,0,0
J Hardstaff snr (ENG),14042,1907-1908,5,0,0,0,0,0,0,0
J Hardstaff jnr (ENG),14041,1935-1948,23,0,0,0,0,0,0,0
NS Harford (NZ),37229,1955-1958,8,0,0,0,0,0,0,0
RI Harford (NZ),37230,1968-1968,3,0,0,0,0,0,0,0
MS Harris (AUS),434813,2018-2022,14,0,0,0,0,0,0,0
RM Harris (NZ),37234,1959-1959,2,0,0,0,0,0,0,0
TA Harris (SA),45414,1947-1949,3,0,0,0,0,0,0,0
J Harry (AUS),5588,1895-1895,1,0,0,0,0,0,0,0
RG Hart (NZ),37239,2002-2003,11,0,0,0,0,0,0,0
BR Hartland (NZ),37235,1992-1994,9,0,0,0,0,0,0,0
MR Harvey (AUS),5600,1947-1947,1,0,0,0,0,0,0,0
RL Harvey (SA),45416,1936-1936,2,0,0,0,0,0,0,0
CMH Hathorn (SA),45417,1902-1911,12,0,0,0,0,0,0,0
Lord Hawke (ENG),14101,1896-1899,5,0,0,0,0,0,0,0
